index_name,symbol
NIFTY 50,ADANIENT
NIFTY 50,ADANIPORTS
NIFTY 50,APOLLOHOSP
NIFTY 50,ASIANPAINT
NIFTY 50,AXISBANK
NIFTY 50,BAJAJ-AUTO
NIFTY 50,BAJAJFINSV
NIFTY 50,BAJFINANCE
NIFTY 50,BEL
NIFTY 50,BHARTIARTL
NIFTY 50,BPCL
NIFTY 50,BRITANNIA
NIFTY 50,CIPLA
NIFTY 50,COALINDIA
NIFTY 50,DRREDDY
NIFTY 50,EICHERMOT
NIFTY 50,GRASIM
NIFTY 50,HCLTECH
NIFTY 50,HDFCBANK
NIFTY 50,HDFCLIFE
NIFTY 50,HEROMOTOCO
NIFTY 50,HINDALCO
NIFTY 50,HINDUNILVR
NIFTY 50,ICICIBANK
NIFTY 50,INDUSINDBK
NIFTY 50,INFY
NIFTY 50,ITC
NIFTY 50,JIOFIN
NIFTY 50,JSWSTEEL
NIFTY 50,KOTAKBANK
NIFTY 50,LT
NIFTY 50,M&M
NIFTY 50,MARUTI
NIFTY 50,NESTLEIND
NIFTY 50,NTPC
NIFTY 50,ONGC
NIFTY 50,POWERGRID
NIFTY 50,RELIANCE
NIFTY 50,SBILIFE
NIFTY 50,SBIN
NIFTY 50,SHRIRAMFIN
NIFTY 50,SUNPHARMA
NIFTY 50,TATACONSUM
NIFTY 50,TATAMOTORS
NIFTY 50,TATASTEEL
NIFTY 50,TCS
NIFTY 50,TECHM
NIFTY 50,TITAN
NIFTY 50,TRENT
NIFTY 50,ULTRACEMCO
NIFTY 50,WIPRO
NIFTY BANK,AUBANK
NIFTY BANK,AXISBANK
NIFTY BANK,BANDHANBNK
NIFTY BANK,BANKBARODA
NIFTY BANK,CANBK
NIFTY BANK,FEDERALBNK
NIFTY BANK,HDFCBANK
NIFTY BANK,ICICIBANK
NIFTY BANK,IDFCFIRSTB
NIFTY BANK,INDUSINDBK
NIFTY BANK,KOTAKBANK
NIFTY BANK,PNB
NIFTY BANK,SBIN
